"Year","January","February","March","April","May","June","July","August","September","October","November","December"
1981,1.269,0.855,0.896,0.579,0.2,0.298,0.401,0.691,0.142,0.124,0.171,0.955
1982,-0.015,0.104,-0.44,0.126,0.042,-0.174,0.232,-0.031,-0.014,0.002,-0.098,0.746
1983,0.863,0.637,0.352,0.358,0.411,0.02,0.046,0.482,0.66,0.263,0.68,0.262
1984,0.377,-0.113,0.357,0.085,0.679,-0.09,0.093,0.105,-0.026,0.158,-0.249,-0.446
1985,0.474,-0.509,0.105,0.285,0.108,0.139,-0.343,0.219,-0.099,0.12,-0.092,0.226
1986,0.778,0.837,0.498,0.543,0.288,-0.041,-0.005,0.137,-0.213,0.107,-0.13,0.196
1987,0.602,0.977,-0.032,0.259,0.206,0.478,0.568,0.062,0.424,0.423,-0.015,0.896
1988,0.94,0.272,0.616,0.692,0.545,0.626,0.45,0.684,0.679,0.782,0.23,0.782
1989,0.149,0.439,0.468,0.391,-0.043,-0.011,0.307,0.327,0.376,0.548,0.125,0.862
1990,0.706,0.511,1.429,0.877,0.549,0.427,0.468,0.274,0.173,0.649,0.816,0.819
1991,0.708,0.925,0.29,0.95,0.301,0.834,0.687,0.496,0.637,0.556,0.346,0.476
1992,1.039,0.693,0.609,0.271,0.214,0.133,-0.165,-0.06,-0.406,0.129,-0.192,0.473
1993,0.707,0.614,0.593,0.36,0.139,0.082,0.255,0.008,-0.077,0.408,-0.314,0.467
1994,0.504,-0.362,0.415,0.679,0.375,0.712,0.38,0.12,0.459,0.81,0.747,0.529
1995,1.005,1.488,0.634,0.669,0.266,0.697,0.772,0.805,0.518,0.886,0.686,0.511
1996,0.325,0.807,0.232,0.37,0.27,0.192,0.507,0.764,0.29,0.296,0.456,0.714
1997,0.614,0.589,0.635,0.544,0.253,0.678,0.195,0.41,0.623,0.904,0.786,0.838
1998,0.839,1.67,0.674,1.05,0.962,1.077,1.025,1.067,0.653,0.763,0.363,1.112
1999,1.04,1.492,0.227,0.469,0.361,0.596,0.541,0.535,0.694,0.781,0.562,0.98
2000,0.409,1.003,0.881,1.221,0.554,0.603,0.546,0.731,0.541,0.256,0.217,0.277
2001,0.82,0.564,0.916,0.914,0.967,0.645,0.828,0.608,0.687,0.694,1.241,0.923
2002,1.512,1.541,1.468,0.89,0.936,0.636,1.045,0.738,0.959,0.769,0.843,0.476
2003,1.465,0.93,0.747,0.844,0.831,0.551,0.689,0.87,0.89,1.215,0.612,1.569
2004,1.031,1.297,1.036,0.928,0.209,0.455,-0.006,0.374,0.595,0.998,1.255,0.686
2005,1.29,0.752,1.244,1.223,0.897,1.011,0.876,0.704,1.22,1.44,1.383,1.287
2006,0.724,1.233,1.004,0.717,0.438,0.987,0.68,1.092,0.875,1.139,0.903,1.438
2007,2.067,1.082,1.092,1.482,1.225,0.905,0.922,0.956,0.957,1.142,1.045,0.966
2008,0.352,0.438,1.571,0.978,0.714,0.691,0.86,0.541,0.801,1.261,1.201,0.823
2009,1.16,0.935,0.791,1.017,0.861,0.819,0.997,0.915,1.173,0.949,1.031,0.738
2010,1.176,1.225,1.424,1.37,1.132,0.96,0.894,0.984,0.923,1.286,1.457,0.699
2011,0.783,0.565,0.788,1.168,0.669,0.927,1.231,1.296,0.923,1.23,0.774,1.071
2012,0.606,0.415,0.718,1.338,1.264,1.04,0.835,0.92,1.012,1.228,1.072,0.454
2013,1.167,0.997,0.928,0.703,0.879,1.118,0.724,1.017,1.178,1.091,1.343,1.113
2014,1.226,0.314,1.049,1.293,1.234,0.864,0.628,1.131,1.124,1.18,0.689,1.325
2015,1.387,1.496,1.448,1.028,1.019,1.075,0.823,1.016,1.022,1.632,1.404,1.936
2016,1.705,2.226,2.215,1.844,1.296,0.941,1.025,1.536,1.214,1.076,1.159,1.361
2017,1.654,1.756,1.816,1.302,1.283,0.817,1.059,1.162,1.072,1.367,1.092,1.564
2018,1.268,1.131,1.409,1.34,1.129,1.031,1.191,1.063,0.955,1.478,0.821,1.33
2019,1.523,1.244,1.809,1.523,1.011,1.074,1.192,1.179,1.245,1.598,1.254,1.826
2020,2.099,2.124,1.759,1.655,1.288,1.189,1.204,1.183,1.492,1.298,1.716,1.223
2021,1.31,0.761,1.379,1.084,1.052,1.154,1.364,1.266,1.354,1.626,1.357,1.39
2022,1.449,1.192,1.502,1.349,1.028,1.317,1.323,1.328,1.204,1.576,0.712,0.976
2023,1.255,1.448,1.949,1.22,1.06,1.351,1.543,1.708,2.201,2.097,2.069,2.032
2024,1.772,1.99,2.009,1.923,1.474,1.761,,,,,,
