"Year","January","February","March","April","May","June","July","August","September","October","November","December"
1803,-1.471,-1.076,-0.158,0.891,0.202,0.107,0.095,0.626,0.129,0.807,-0.075,-0.658
1804,-0.368,-1.19,-0.958,1.205,0.361,0.006,1.169,0.048,0.117,-0.151,0.915,-0.966
1805,0.396,-0.467,0.595,-0.255,-0.335,0.417,0.173,1.132,-0.244,-1.716,-1.498,0.829
1806,0.4,-0.223,-0.506,-0.376,0.052,-1.253,-0.661,0.476,0.272,-0.789,-0.763,0.498
1807,-1.647,0.271,-0.588,-1.424,-2.335,-0.334,-0.308,-0.509,0.363,-0.314,0.181,0.95
1808,-1.502,-0.964,-0.972,-1.031,-2.152,-0.323,0.066,-1.031,-0.3,-0.836,-1.496,-2.087
1809,-2.373,-2.292,-1.855,-0.433,-2.062,-0.74,-1.867,-1.065,-1.21,-0.743,-2.928,-1.25
1810,-2.116,-0.676,-0.028,-1.58,-2.289,-1.966,-1.982,-1.915,-2.953,-2.317,-1.989,-0.897
1811,-1.614,-3.022,0.126,-2.218,-1.826,-1.287,-2.292,-0.537,-1.762,-2.216,-2.515,0.145
1812,-1.157,-3.017,-3.031,-1.389,-1.903,-1.75,-0.059,1.417,-1.842,-1.517,-1.412,-2.356
1813,-4.098,-1.02,-3.163,-0.181,0.118,-0.532,-0.155,-0.926,0.035,-0.729,0.761,-1.281
1814,-0.734,-1.395,-2.608,-1.216,-2.031,-0.792,-1.874,-1.162,-1.587,-1.658,0.806,2.686
1815,-0.675,-1.008,-1.566,-1.705,-1.522,-2.442,-0.072,-0.647,-0.958,-1.941,-1.927,-2.272
1816,0.191,-3.605,-1.417,-0.801,-0.71,-1.96,-2.399,-1.406,-1.916,-3.834,-1.834,-1.437
1817,-0.765,0.875,-0.136,-0.016,-1.894,-2.628,-2.325,-0.723,-3.873,-2.9,-1.134,-2.908
1818,-0.629,-1.796,0.878,2.003,0.357,0.629,-0.878,-0.779,-1.927,-2.438,-0.224,-0.741
1819,-1.277,-1.17,-2.671,-1.583,-0.986,-0.963,-1.415,-1.36,-0.873,-0.607,-0.857,-1.877
1820,-2.398,-0.76,-0.74,1.06,0.59,-0.184,-0.703,-1.7,-0.838,-1.783,-1.537,-1.996
1821,0.298,0.712,0.003,-0.467,-0.166,-1.369,-1.427,-1.12,-2.108,-1.169,-0.897,-1.064
1822,-0.269,0.896,2.095,-0.313,-0.612,-0.475,-0.682,-0.806,-1.787,-1.505,-1.424,-2.769
1823,-0.839,-1.075,-0.486,-0.673,-0.783,-0.113,-0.104,-0.979,-1.642,-1.637,-1.433,-1.3
1824,0.296,-0.549,-0.041,0.052,-0.136,-0.239,-0.108,-0.896,-0.711,-1.325,-0.715,0.869
1825,0.107,-0.402,-0.354,0.613,-0.456,-0.122,-1.117,-1.019,-1.249,-1.12,-0.39,-0.738
1826,-0.695,-1.502,-0.675,-0.143,0.381,-0.383,-0.194,-0.903,-1.077,-0.801,0.627,1.014
1827,0.845,0.997,0.361,0.94,0.32,-0.038,0.115,-0.405,-0.91,-0.659,0.025,-0.512
1828,-1.804,-1.345,0.174,0.328,0.037,0.142,0.019,-0.397,-2.036,-0.57,-0.334,-1.293
1829,-0.846,-1.572,-0.492,-0.603,-0.106,-0.903,-0.264,-0.736,-1.501,-0.673,-0.987,-0.841
1830,0.659,0.946,-0.753,0.396,-1.18,-0.803,0.239,-0.591,-1.642,-1.069,1.465,0.919
1831,-0.193,-0.704,-0.721,-0.51,-0.391,-0.588,-0.915,-1.66,-1.984,-1.389,-1.449,-1.294
1832,-0.551,-1.452,-1.057,-0.424,-0.8,-0.957,-0.844,-1.725,-1.71,-0.717,-1.799,-2.444
1833,-0.365,-0.411,-1.078,-0.559,-0.714,-0.625,-0.86,-0.828,-0.986,-1.248,0.793,-0.267
1834,-2.179,-0.556,0.42,-0.275,-0.13,-0.806,-0.54,-0.749,-0.762,-0.613,0.622,-0.374
1835,0.505,-0.203,-0.914,-0.539,-1.12,-1.572,-1.657,-1.784,-2.138,-1.346,-1.809,-2.016
1836,-0.54,-0.666,0.024,-1.1,-1.312,-1.106,-1.051,-1.431,-1.388,-0.392,-1.964,-0.344
1837,-0.22,-0.495,-1.422,-2.131,-1.785,-1.438,-1.217,-0.943,-1.362,-1.487,-1.499,-0.862
1838,-3.313,-1.512,-1.588,-0.908,-1.453,-0.823,-0.277,-0.484,-1.006,-0.548,-0.668,-0.801
1839,-0.148,0.439,-2.605,-0.391,-1.024,-0.845,-0.022,0.119,-1.224,-1.034,-1.979,-2.249
1840,0.344,-0.92,-1.216,-0.549,-0.276,-0.354,0.074,-0.941,-1.196,-1.717,-1.972,-1.584
1841,-1.906,-0.632,-2.089,-1.652,-0.788,-0.704,-0.051,-0.454,-1.356,-0.583,-1.404,-1.005
1842,-0.807,-0.461,0.371,-0.186,-0.876,-1.042,-0.899,-0.813,-1.262,-0.906,-1.24,0.205
1843,0.631,0.822,-0.533,-0.601,-1.459,-1.251,-0.685,-0.858,-1.009,-0.563,-1.201,0.29
1844,-0.538,-1.063,-0.594,-1.071,-1.363,-0.873,-0.708,-1.077,-1.332,-0.57,-1.792,-1.754
1845,0.028,-1.664,-0.924,-0.343,-1.029,-0.855,-0.332,-0.551,-1.072,-1.557,-0.966,-1.943
1846,0.744,0.241,1.012,-0.897,-0.524,-0.185,0.311,0.041,-0.451,-1.072,-0.995,0.016
1847,0.128,0.385,-1.352,-0.42,-0.817,-0.796,-0.328,-0.693,-0.637,-0.668,-0.49,-1.879
1848,-2.059,0.628,-0.609,-0.361,-0.847,-0.478,-0.11,-0.742,-1.199,-0.577,-0.802,-1.558
1849,-0.681,-0.584,-0.051,-1.387,-1.296,-0.676,-0.126,-0.513,-1.114,-0.412,-0.242,-1.727
1850,-1.897,-0.099,-0.506,-1.179,-1.398,-0.515,0.012,-0.004,-0.738,-1.279,-1.447,-1.181
1851,-0.114,-0.697,-1.196,-1.105,-0.344,-0.325,-0.048,-0.375,-0.573,-0.233,-1.227,-0.541
1852,-0.309,-0.834,-1.613,-0.955,-0.257,-0.512,-0.149,-0.875,-0.74,-0.381,-1.532,0.126
1853,-0.883,-1.023,-1.36,-0.779,-0.472,-0.251,0.196,-0.02,-0.623,-0.717,-1.436,-0.729
1854,-1.415,-1.381,-0.602,-0.759,-0.372,-0.858,0.128,-0.169,-0.596,0.601,-0.3,-0.105
1855,0.089,-0.175,-0.678,0.229,-0.106,-0.551,-0.626,-0.463,-0.955,-0.747,-0.934,-1.617
1856,0.155,-0.988,-0.947,-0.518,-0.701,0.019,-0.211,-0.87,-1.229,-1.192,-0.847,-0.322
1857,-0.797,-0.998,-0.907,-1.528,-1.481,-0.868,-0.423,-0.666,-1.076,-1.016,-0.862,-0.124
1858,-0.109,-1.048,-0.512,-0.101,-0.461,-0.233,-0.473,-0.561,-0.879,-0.425,-0.158,-1.194
1859,-0.693,-0.595,-0.467,0.29,0.177,-0.111,-0.349,-0.54,-0.921,-0.3,-0.221,-0.366
1860,-0.828,-0.761,-2.009,-0.539,-0.309,-0.173,-0.121,-0.011,-0.275,-0.559,-1.157,-2.106
1861,-2.234,-1.036,-0.918,-0.86,-0.916,-0.507,-0.271,-0.069,-0.71,-0.929,-0.26,-0.745
1862,-2.096,-1.605,-0.989,-1.112,-0.463,-0.58,-0.366,-0.711,-0.993,-1.004,-1.284,-2.044
1863,0.375,-0.269,-0.646,-0.254,-0.118,-0.388,-0.492,-0.668,-1.029,-1.069,-0.589,-0.911
1864,-1.118,-0.599,-0.647,-0.751,-0.192,0.013,-0.022,-0.36,-0.675,-0.475,-0.931,-1.464
1865,0.324,-0.989,-1.226,-0.866,-0.371,-0.268,-0.01,-0.24,-0.216,-0.012,0.097,-0.933
1866,0.279,-1.025,-0.933,-0.489,-0.443,-0.62,0.36,-0.35,-0.441,-0.658,-0.098,0.382
1867,-0.199,-0.67,-0.841,-0.132,-0.807,-0.114,0.015,-0.17,-0.188,0.029,0.857,0.049
1868,-0.885,-1.466,-0.748,-0.158,-0.158,-0.12,0.216,-0.098,-0.608,0.072,-1.042,-0.482
1869,-0.448,0.223,-0.958,-0.373,-0.079,0.003,0.029,0.066,0.226,-0.303,-0.367,-0.929
1870,-0.676,-1.237,-0.81,-0.469,-0.037,0.203,0.172,-0.413,-0.146,-0.494,-0.57,-1.488
1871,-1.315,-1.515,-0.593,0.053,-0.536,-0.353,-0.055,0.015,-0.507,-0.194,-1.192,-0.776
1872,-0.958,-0.83,-0.53,-0.527,-0.167,-0.407,-0.069,-0.046,-0.231,-0.163,-0.923,-1.219
1873,-0.75,-0.103,-0.564,-0.893,-0.357,-0.085,-0.099,-0.113,-0.59,-0.106,-0.46,-0.071
1874,-0.028,-0.107,-1.158,-0.203,0.204,-0.231,-0.256,-0.08,0.045,-0.098,-0.435,-0.344
1875,-1.033,-0.76,-1.049,-0.781,-0.544,-0.281,-0.175,-0.487,-0.795,-0.573,-1.455,-0.895
1876,-0.61,-0.458,-0.458,-0.07,-0.627,-0.324,-0.08,-0.435,-0.356,-0.249,-0.979,-1.519
1877,-0.527,-0.3,0.039,-0.305,-0.219,-0.196,0.251,0.253,0.027,0.048,0.175,-0.814
1878,-0.643,0.63,1.393,0.609,-0.31,0.324,0.488,0.261,0.068,0.009,0.31,-0.248
1879,-0.202,-0.458,-0.275,-0.543,-0.486,-0.272,-0.142,-0.609,-0.651,0.067,-0.609,-1.145
1880,-0.798,-1.307,-0.862,-0.896,-0.29,-0.336,-0.266,-0.184,-0.698,-0.549,-0.281,-0.506
1881,-0.117,-0.566,-0.24,0.07,-0.09,-0.747,-0.197,-0.077,-0.366,-0.376,-0.768,-0.386
1882,0.473,0.055,-0.287,-0.622,-0.413,-0.646,-0.626,-0.191,-0.282,-0.737,-1.003,-1.426
1883,-1.006,-1.23,-0.276,-0.608,-0.464,-0.089,-0.34,-0.602,-0.663,-0.204,-1.121,-0.298
1884,-0.348,-0.559,-1.34,-1.084,-1.165,-0.877,-0.691,-0.519,-0.79,-0.696,-0.914,-0.538
1885,-1.405,-0.872,-0.566,-0.821,-0.713,-0.747,-0.298,-0.53,-0.596,-0.411,-0.714,0.094
1886,-1.132,-1.372,-1.018,-0.341,-0.551,-0.659,-0.116,-0.582,-0.484,-0.656,-0.87,-0.091
1887,-1.692,-1.057,-0.685,-0.462,-0.488,-0.648,-0.314,-0.825,-0.353,-0.546,-0.537,-0.755
1888,-0.719,-1.056,-0.889,-0.471,-0.645,-0.569,-0.105,-0.334,-0.318,-0.018,-0.249,-0.238
1889,-0.69,0.419,0.099,0.318,-0.1,-0.122,-0.104,-0.402,-0.467,-0.418,-1.027,-0.463
1890,-0.695,-0.683,-1.033,-0.457,-0.84,-0.619,-0.345,-0.602,-0.499,-0.052,-1.091,-0.631
1891,-0.896,-1.311,-0.493,-0.661,-0.506,-0.59,-0.438,-0.418,-0.351,-0.535,-0.936,0.084
1892,-0.544,-0.398,-0.968,-0.684,-0.601,-0.186,-0.438,-0.424,-0.387,0.035,-1.157,-0.66
1893,-2.006,-1.482,-0.29,-0.272,-0.528,-0.331,-0.001,-0.368,-0.269,-0.074,-0.226,-0.447
1894,-0.806,-0.305,-0.16,-0.57,-0.282,-0.571,-0.25,-0.299,-0.461,-0.066,-0.581,-0.41
1895,-1.216,-1.106,-0.621,-0.066,-0.313,-0.347,-0.179,-0.326,-0.266,-0.094,-0.247,-0.158
1896,-0.222,-0.416,-1.007,-0.824,-0.371,-0.107,-0.079,-0.198,-0.207,0.25,-0.733,-0.285
1897,-0.559,-0.688,-0.953,0.003,0.139,-0.142,-0.07,-0.194,-0.111,0.063,-0.357,-0.353
1898,0.292,-0.743,-1.49,-0.385,-0.324,-0.024,-0.24,-0.301,-0.312,-0.418,-0.596,-0.123
1899,0.032,-0.757,-0.626,0.075,-0.168,-0.439,-0.114,-0.097,0.072,0.151,0.527,-0.516
1900,-0.979,-0.001,0.222,-0.053,0.196,-0.054,-0.101,-0.049,-0.082,0.488,-0.254,0.122
1901,-0.352,-0.024,0.34,0.288,-0.073,0.004,0.038,0.006,-0.09,-0.189,-0.103,-0.195
1902,0.1,0.461,-0.399,-0.297,-0.368,-0.164,-0.085,-0.264,-0.289,-0.413,-0.791,-0.83
1903,-0.024,0.351,-0.29,-0.382,-0.451,-0.529,-0.298,-0.404,-0.578,-0.386,-0.489,-0.655
